개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3740000,202437400000101428,공중화장실,법제3조제3호,윌스기념병원,"경기도 수원시 팔달구 경수대로 437, 윌스기념병원 (인계동)",경기도 수원시 팔달구 인계동 994-3 윌스기념병원,1,2,1,1,0,0,2,1,0,윌스기념병원,,정시,09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:25:53
3740000,202437400000101429,공중화장실,법제3조제3호,원천호수,경기도 수원시 영통구 광교호수로 127(하동),경기도 수원시 영통구 하동 1024(광교호수공원),2,4,1,3,0,0,7,1,1,수원시 공원녹지사업소,,상시,,,공공기관-지방자치단체,수세식,N,N,,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:25:27
3740000,202437400000101430,공중화장실,법제3조제3호,원천동행정복지센터,경기도 수원시 영통구 중부대로 339(원천동),경기도 수원시 영통구 원천동 610,6,6,1,0,0,0,12,2,0,원천동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:25:08
3740000,202437400000101431,공중화장실,법제3조제3호,원천4공원(매미),,경기도 수원시 영통구 매탄동 1217-6,1,1,0,0,0,0,1,0,0,수원시 영통구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:24:43
3740000,202437400000101432,공중화장실,법제3조제3호,원천2공원(우정),경기도 수원시 영통구 매봉로46번길 14(매탄2동),경기도 수원시 영통구 매탄동 1201,1,1,0,0,0,0,1,0,0,수원시 영통구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:24:25
3740000,202437400000101433,공중화장실,법제3조제11호,우성충전소,경기도 수원시 권선구 서호동로 65 (서둔동),경기도 수원시 권선구 서둔동 9-28,1,2,0,0,0,0,1,0,0,우성충전소,,정시,00:00~24:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:24:05
3740000,202437400000101434,공중화장실,법제3조제3호,우만솔밭,경기도 수원시 팔달구 아주로 35(우만2동),경기도 수원시 팔달구 우만동 72-1,3,5,1,0,0,5,7,1,10,수원시 팔달구 녹지공원과,,상시,,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,Y,여자화장실,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:23:37
3740000,202437400000101435,공중화장실,법제3조제3호,우만2동행정복지센터,경기도 수원시 팔달구 중부대로207번길 33(우만동),경기도 수원시 팔달구 우만동 108-3,8,6,1,1,0,0,5,1,0,우만2동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:23:16
3740000,202437400000101436,공중화장실,법제3조제3호,우만1동행정복지센터,경기도 수원시 팔달구 세지로406(우만동),경기도 수원시 팔달구 우만동506,6,6,3,0,0,0,15,3,0,우만1동행정복지센터,,정시,평일 09:00~18:00,,공공기관-지방자치단체,수세식,Y,Y,장애인화장실,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:20:30
3740000,202437400000101437,공중화장실,법제3조제3호,스파이더맨주유소,경기도 수원시 권선구 덕영대로 1136(세류동),경기도 수원시 권선구 세류동 1126-6,1,2,0,0,0,0,1,0,0,스파이더맨주유소,,정시,05:00~22:00,,공공기관-지방자치단체,수세식,N,N,,N,N,,,2026-02-20,I,2026-05-15 18:43:46,2026-02-21 10:19:48
